"Number","Date","Length","EndingSlash","ReservedWord","SlashCount","MainContentTag","HighestFreqTagSetS","FrequencyCount","MainContentScore","DepthMainContentinDOMTree","Article"
"true","false","99","false","false","1","div","p","2","1.0785775184631348","20","yes"
"true","false","52","false","false","1","div","p","6","1.005098819732666","20","yes"
"true","false","87","false","false","1","div","p","11","1.0864754915237427","21","yes"
"true","false","87","false","false","1","div","p","18","1.0380709171295166","20","yes"
"true","false","64","false","false","1","div","p","13","1.0447657108306885","20","yes"
"true","false","57","false","false","1","div","p","5","1.02055025100708","21","yes"
"true","false","111","false","false","1","div","p","15","1.0172364711761475","19","yes"
"true","false","106","false","false","1","div","p","20","1.1739788055419922","21","yes"
"true","false","79","false","false","1","div","p","6","1.0283058881759644","21","yes"
"true","false","76","false","false","1","div","p","13","1.0224547386169434","20","yes"
"true","false","54","false","false","1","div","p","9","1.0070416927337646","20","yes"
"true","false","79","false","false","1","div","p","6","1.0460736751556396","21","yes"
"true","false","94","false","false","1","div","p","4","1.0205976963043213","20","yes"
"true","false","57","false","false","1","div","p","11","1.0198326110839844","20","yes"
"true","false","76","false","false","1","div","p","11","1.0384268760681152","21","yes"
"true","false","52","false","false","1","div","p","6","1.030559778213501","20","yes"
"true","false","95","false","false","2","div","p","4","1.177503228187561","12","yes"
"true","false","86","false","false","2","div","p","4","1.0978811979293823","12","yes"
"true","false","81","false","false","2","div","p","4","1.0728846788406372","12","yes"
"true","false","80","false","false","2","div","p","3","1.0398398637771606","12","yes"
"true","false","91","false","false","2","div","div","2","1.038735032081604","12","yes"
"true","false","72","false","false","2","div","p","4","1.0022728443145752","12","yes"
"true","false","70","false","false","2","div","p","4","1.0928231477737427","12","yes"
"true","false","71","false","false","2","div","p","4","1.1630690097808838","12","yes"
"true","false","94","false","false","2","div","p","4","1.202641248703003","12","yes"
"true","false","98","false","false","2","div","p","3","1.0554461479187012","12","yes"
"true","false","81","false","false","2","div","p","4","1.112524390220642","12","yes"
