"Number","Date","Length","EndingSlash","ReservedWord","SlashCount","MainContentTag","HighestFreqTagSetS","FrequencyCount","MainContentScore","DepthMainContentinDOMTree","Article"
"false","false","14","true","false","2","ul","li","15","0.9928181767463684","14","no"
"false","false","32","false","false","2","div","div","2","0.9986509084701538","15","no"
"true","false","60","false","true","2","ul","li","12","0.9927383661270142","19","no"
"false","false","24","false","false","2","ul","li","15","0.9925722479820251","22","no"
"false","false","11","true","false","2","ul","li","13","0.9926407337188721","14","no"
"false","false","19","false","false","2","div","div","2","0.9917094111442566","15","no"
"false","false","21","false","false","2","div","div","2","0.9920477867126465","15","no"
"false","false","19","true","true","3","div","div","2","0.9922641515731812","17","no"
"false","false","19","false","false","2","div","div","2","0.9915792346000671","15","no"
"false","false","22","false","false","2","ul","li","15","0.9924964904785156","22","no"
"true","false","68","false","true","1","div","p","3","0.9938141703605652","20","no"
"false","false","15","true","false","2","ul","li","15","0.9918331503868103","24","no"
"true","false","61","false","true","2","ul","li","12","0.9913877248764038","19","no"
"false","false","18","false","false","2","ul","li","15","0.9931228160858154","22","no"
"false","false","27","false","false","2","div","div","2","0.9949791431427002","15","no"
"false","false","25","false","false","2","div","div","2","1.0053790807724","15","no"
"true","false","60","false","true","2","ul","li","12","0.9912711977958679","19","no"
"false","false","10","false","false","0","div","div","2","0.9937607049942017","9","no"
"false","false","22","false","false","0","div","div","12","0.9996634125709534","10","no"
"false","false","13","false","false","0","ul","li","16","0.9913396239280701","11","no"
"false","false","8","false","false","0","ul","li","20","1.0115832090377808","16","no"
"false","false","37","false","true","1","div","p","10","0.9980859756469727","13","no"
"true","false","67","false","false","4","div","div","149","1.1340460777282715","9","no"
"false","false","3","false","false","0","ul","li","16","0.9960457682609558","11","no"
"false","false","7","false","false","0","ul","li","16","0.9929790496826172","11","no"
"false","false","5","false","false","0","ul","li","16","0.9925169944763184","11","no"
"false","false","28","false","true","0","div","section","4","0.9976510405540466","9","no"
"false","false","12","false","false","0","ul","li","16","0.9926811456680298","11","no"
"false","false","21","false","true","1","div","div","16","0.9915111064910889","12","no"
"false","false","8","false","false","0","ul","li","17","0.9910359382629395","12","no"
"false","false","10","true","false","1","ul","li","13","0.996103048324585","10","no"
"false","false","36","false","true","1","ul","li","17","0.9927349090576172","12","no"
"false","false","27","false","false","2","div","article","5","1.0052781105041504","10","no"
"false","false","30","false","false","3","div","article","5","1.0078794956207275","10","no"
"false","false","39","false","false","3","div","article","5","1.0084819793701172","10","no"
"false","false","11","false","false","0","div","article","12","0.9990825057029724","10","no"
"false","false","25","false","false","1","div","article","5","1.0021765232086182","10","no"
"false","false","9","false","false","0","div","section","5","0.9920963048934937","8","no"
"false","false","37","false","false","2","div","article","5","1.0101779699325562","10","no"
"false","false","43","false","false","3","div","article","5","1.0040334463119507","10","no"
"false","false","32","false","false","2","div","article","5","1.0039887428283691","10","no"
"false","false","37","false","false","2","div","article","5","1.0087201595306396","10","no"
"false","false","25","false","false","1","ul","li","152","1.2872439622879028","12","no"
"false","false","5","false","false","0","ul","li","34","0.9976134896278381","10","no"
