"Number","BaseUrl","MainConentTag","HighestFreqTagSetS","FrequencyCount","MainContentScore","DepthMainContentinDOMTree","Article"
"1","http://www.yahoo.com/gma/duchess-meghan-bringing-boatneck-back-pull-look-off-191604283--abc-news-fashion-and-beauty.html","div","p","2","1.0785775184631348","20","yes"
"2","http://www.yahoo.com/news/nasa-announces-crew-return-space-200309447.html","div","p","6","1.005098819732666","20","yes"
"3","http://www.yahoo.com/news/democrats-vow-fight-lifetime-keep-brett-kavanaugh-off-supreme-court-051334537.html","div","p","11","1.0864754915237427","21","yes"
"4","http://www.yahoo.com/news/white-house-propose-weaker-auto-emissions-rules-overriding-100355383--finance.html","div","p","18","1.0380709171295166","20","yes"
"5","http://www.yahoo.com/news/ex-fbi-agent-trump-got-elected-thanks-russia-090006587.html","div","p","13","1.0447657108306885","20","yes"
"6","https://www.yahoo.com/news/brett-kavanaugh-apos-confirmation-far-094517944.html","div","p","5","1.02055025100708","21","yes"
"7","http://www.yahoo.com/lifestyle/jessie-james-decker-called-selfish-drinking-breastfeeding-youre-poisoning-baby-alcohol-160122956.html","div","p","15","1.0172364711761475","19","yes"
"8","http://www.yahoo.com/news/mr-trumps-wild-ride-insiders-dish-on-the-early-days-of-the-campaign-that-shook-america-171114000.html","div","p","20","1.1739788055419922","21","yes"
"9","http://www.yahoo.com/news/midwest-farmers-fear-tariff-war-steelworker-neighbors-cheer-100002564.html","div","p","6","1.0283058881759644","21","yes"
"10","http://www.yahoo.com/news/u-court-orders-trump-administration-fully-reinstate-daca-012957307.html","div","p","13","1.0224547386169434","20","yes"
"11","https://www.yahoo.com/news/no-black-american-saints-catholics-235718930.html","div","p","9","1.0070416927337646","20","yes"
"12","http://www.yahoo.com/news/supreme-court-fight-adds-twist-key-north-dakota-senate-race-134629991.html","div","p","6","1.0460736751556396","21","yes"
"13","http://www.yahoo.com/news/meghan-mccain-defending-trump-fans-right-love-kind-gesture-received-obamas-114204889.html","div","p","4","1.0205976963043213","20","yes"
"14","https://www.yahoo.com/news/could-victim-police-brutality-because-111025758.html","div","p","11","1.0198326110839844","20","yes"
"15","http://www.yahoo.com/news/no-experience-necessary-trump-future-celebrity-candidate-090020274.html","div","p","11","1.0384268760681152","21","yes"
"16","http://www.yahoo.com/news/nra-major-financial-issues-could-195719306.html","div","p","6","1.030559778213501","20","yes"
"17","https://www.nbcnews.com/news/world/european-parliament-elections-democracy-arrived-slovakia-30-years-ago-where-n1004136","div","p","4","1.177503228187561","12","yes"
"18","https://www.nbcnews.com/tech/tech-news/how-venezuela-s-vice-grip-internet-leaves-citizens-dark-during-n1006146","div","p","4","1.0978811979293823","12","yes"
"19","https://www.nbcnews.com/politics/meet-the-press/sanders-trump-kim-jong-un-agree-assessment-biden-n1010386","div","p","4","1.0728846788406372","12","yes"
"20","https://www.nbcnews.com/think/opinion/inside-u-s-military-s-battle-white-supremacy-far-right-ncna1010221","div","p","3","1.0398398637771606","12","yes"
"21","https://www.nbcnews.com/think/opinion/trump-administration-s-assange-indictment-referendum-constitution-ncna1010181","div","div","2","1.038735032081604","12","yes"
"22","https://www.nbcnews.com/news/world/russia-s-dying-villages-inspire-rising-star-art-world-n994436","div","p","4","1.0022728443145752","12","yes"
"23","https://www.nbcnews.com/news/world/india-election-pm-narendra-modi-brink-decisive-win-n1009126","div","p","4","1.0928231477737427","12","yes"
"24","https://www.nbcnews.com/news/world/who-boris-johnson-man-poised-be-next-british-leader-n1009841","div","p","4","1.1630690097808838","12","yes"
"25","https://www.nbcnews.com/politics/national-security/trump-bypasses-congress-push-through-arms-sales-saudis-uae-n1010116","div","p","4","1.202641248703003","12","yes"
"26","https://www.nbcnews.com/think/opinion/marijuana-legalization-must-make-war-drugs-victims-whole-companies-profit-ncna981391","div","p","3","1.0554461479187012","12","yes"
"27","https://www.nbcnews.com/news/world/how-theresa-may-became-latest-prime-minister-be-beaten-brexit-n1009191","div","p","4","1.112524390220642","12","yes"
"28","https://www.nbcnews.com/news/world/u-s-troop-boost-middle-east-highly-dangerous-says-iran-n1010276","div","p","4","1.070168375968933","12","yes"
"29","https://www.nbcnews.com/news/world/who-khalifa-hafta-whose-forces-are-attacking-tripoli-libya-n999421","div","p","4","1.163874626159668","12","yes"
"30","https://www.nbcnews.com/news/world/congo-s-ebola-response-threatened-conspiracy-theories-rumors-n994156","div","p","3","1.1470587253570557","12","yes"
"31","https://www.nbcnews.com/think/opinion/extreme-right-will-likely-grow-european-parliament-don-t-panic-ncna1010216","div","p","2","1.0825427770614624","12","yes"
"32","https://www.nbcnews.com/politics/politics-news/will-prison-gerrymandering-be-next-big-fight-n999656","div","p","4","1.0889251232147217","12","yes"
"33","https://www.nbcnews.com/news/us-news/missing-hawaiian-hiker-drank-river-ate-fruit-survive-after-falling-n1010341","div","p","4","1.0861210823059082","12","yes"
"34","http://www.foxnews.com/opinion/2018/07/29/how-3-words-can-stop-whats-stealing-your-joy-instead-staying-stuck-in-comparing-and-competing.html","div","p","42","1.0752537250518799","11","yes"
"35","https://www.foxnews.com/entertainment/miss-usa-miss-teen-usa-reveal-what-makes-them-proud-to-be-americans","div","p","4","1.034859299659729","11","yes"
"36","http://www.foxnews.com/opinion/2018/07/29/does-donald-trump-really-hate-breastfeeding-another-media-mis-report.html","div","p","8","1.0249159336090088","11","yes"
"37","http://www.foxnews.com/tech/2018/07/29/dna-to-x-ray-to-id-remains-from-north-korea-military-has-range-tools.html","div","p","11","1.0660797357559204","11","yes"
"38","http://www.foxnews.com/auto/2018/07/31/toyota-unveils-second-generation-hydrogen-powered-semi-truck.html","div","p","3","0.9970539808273315","11","yes"
"39","https://www.foxnews.com/entertainment/ali-fedotowsky-says-she-and-her-husband-havent-slept-in-the-same-bed-since-welcoming-their-second-child","div","p","14","1.0314984321594238","11","yes"
"40","http://www.foxnews.com/entertainment/2018/07/31/meghan-markles-37th-birthday-has-special-meaning-for-queen.html","div","p","3","1.0174586772918701","11","yes"
"41","http://www.foxnews.com/opinion/2018/07/30/violent-threats-from-left-aimed-at-republicans-are-growing-when-will-democrats-condemn-them.html","div","p","15","1.0406936407089233","11","yes"
"42","http://www.foxnews.com/opinion/2018/07/31/here-s-why-restrictions-on-3d-guns-would-violate-first-amendment-as-well-as-second.html","div","p","19","1.0330415964126587","11","yes"
"43","http://www.foxnews.com/tech/2018/07/31/air-force-brings-ai-to-b-2-f-35-and-f-15.html","div","p","22","1.0920135974884033","11","yes"
"44","http://www.foxnews.com/us/2018/07/31/mollie-tibbetts-university-iowa-student-missing-timeline-events.html","div","p","7","1.3073151111602783","11","yes"
"45","http://www.foxnews.com/health/2018/07/31/how-do-know-if-your-cut-has-flesh-eating-bacteria.html","div","p","9","1.0113309621810913","11","yes"
"46","http://www.foxnews.com/entertainment/2018/07/31/prince-george-and-princess-charlotte-must-bow-curtsy-to-queen-elizabeth-by-age-5-report-says.html","div","p","6","1.0458943843841553","11","yes"
"47","http://www.foxnews.com/opinion/2018/07/31/trumps-economy-has-democrats-singing-same-old-tax-spend-and-regulate-song.html","div","p","5","1.0136605501174927","11","yes"
"48","http://www.foxnews.com/opinion/2018/07/31/smug-seattle-keeps-throwing-money-after-streetcar-bike-lane-fiasco-that-s-totally-off-rails.html","div","p","14","1.021504282951355","11","yes"
"49","http://www.foxnews.com/food-drink/2018/07/31/yelp-adds-open-to-all-feature-to-protect-consumers-from-discrimination.html","div","p","4","0.9961885809898376","11","yes"
"50","http://www.foxnews.com/travel/2018/07/31/obese-tourists-from-us-and-uk-blamed-for-crippling-donkeys-in-greece-activists-say.html","div","p","4","1.0120230913162231","11","yes"
"51","https://www.dw.com/en/film-dubbing-as-high-art-in-germany/a-48862319","div","p","6","1.0352238416671753","9","yes"
"52","https://www.dw.com/en/eu-election-surge-for-greens-losses-for-centrist-bloc/a-48883806","div","p","17","1.0439714193344116","9","yes"
