"Number","BaseUrl","Number","Date","Length","EndingSlash","ReservedWord","SlashCount","Article"
"1","gma/duchess-meghan-bringing-boatneck-back-pull-look-off-191604283--abc-news-fashion-and-beauty.html","true","false","99","false","false","1","yes"
"2","news/nasa-announces-crew-return-space-200309447.html","true","false","52","false","false","1","yes"
"3","news/democrats-vow-fight-lifetime-keep-brett-kavanaugh-off-supreme-court-051334537.html","true","false","87","false","false","1","yes"
"4","news/white-house-propose-weaker-auto-emissions-rules-overriding-100355383--finance.html","true","false","87","false","false","1","yes"
"5","news/ex-fbi-agent-trump-got-elected-thanks-russia-090006587.html","true","false","64","false","false","1","yes"
"6","news/brett-kavanaugh-apos-confirmation-far-094517944.html","true","false","57","false","false","1","yes"
"7","lifestyle/jessie-james-decker-called-selfish-drinking-breastfeeding-youre-poisoning-baby-alcohol-160122956.html","true","false","111","false","false","1","yes"
"8","news/mr-trumps-wild-ride-insiders-dish-on-the-early-days-of-the-campaign-that-shook-america-171114000.html","true","false","106","false","false","1","yes"
"9","news/midwest-farmers-fear-tariff-war-steelworker-neighbors-cheer-100002564.html","true","false","79","false","false","1","yes"
"10","news/u-court-orders-trump-administration-fully-reinstate-daca-012957307.html","true","false","76","false","false","1","yes"
"11","news/no-black-american-saints-catholics-235718930.html","true","false","54","false","false","1","yes"
"12","news/supreme-court-fight-adds-twist-key-north-dakota-senate-race-134629991.html","true","false","79","false","false","1","yes"
"13","news/meghan-mccain-defending-trump-fans-right-love-kind-gesture-received-obamas-114204889.html","true","false","94","false","false","1","yes"
"14","news/could-victim-police-brutality-because-111025758.html","true","false","57","false","false","1","yes"
"15","news/no-experience-necessary-trump-future-celebrity-candidate-090020274.html","true","false","76","false","false","1","yes"
"16","news/nra-major-financial-issues-could-195719306.html","true","false","52","false","false","1","yes"
"17","news/world/european-parliament-elections-democracy-arrived-slovakia-30-years-ago-where-n1004136","true","false","95","false","false","2","yes"
"18","tech/tech-news/how-venezuela-s-vice-grip-internet-leaves-citizens-dark-during-n1006146","true","false","86","false","false","2","yes"
"19","politics/meet-the-press/sanders-trump-kim-jong-un-agree-assessment-biden-n1010386","true","false","81","false","false","2","yes"
"20","think/opinion/inside-u-s-military-s-battle-white-supremacy-far-right-ncna1010221","true","false","80","false","false","2","yes"
"21","think/opinion/trump-administration-s-assange-indictment-referendum-constitution-ncna1010181","true","false","91","false","false","2","yes"
"22","news/world/russia-s-dying-villages-inspire-rising-star-art-world-n994436","true","false","72","false","false","2","yes"
"23","news/world/india-election-pm-narendra-modi-brink-decisive-win-n1009126","true","false","70","false","false","2","yes"
"24","news/world/who-boris-johnson-man-poised-be-next-british-leader-n1009841","true","false","71","false","false","2","yes"
"25","politics/national-security/trump-bypasses-congress-push-through-arms-sales-saudis-uae-n1010116","true","false","94","false","false","2","yes"
"26","think/opinion/marijuana-legalization-must-make-war-drugs-victims-whole-companies-profit-ncna981391","true","false","98","false","false","2","yes"
"27","news/world/how-theresa-may-became-latest-prime-minister-be-beaten-brexit-n1009191","true","false","81","false","false","2","yes"
"28","news/world/u-s-troop-boost-middle-east-highly-dangerous-says-iran-n1010276","true","false","74","false","false","2","yes"
"29","news/world/who-khalifa-hafta-whose-forces-are-attacking-tripoli-libya-n999421","true","false","77","false","false","2","yes"
"30","news/world/congo-s-ebola-response-threatened-conspiracy-theories-rumors-n994156","true","false","79","false","false","2","yes"
"31","think/opinion/extreme-right-will-likely-grow-european-parliament-don-t-panic-ncna1010216","true","false","88","false","false","2","yes"
"32","politics/politics-news/will-prison-gerrymandering-be-next-big-fight-n999656","true","false","75","false","false","2","yes"
"33","news/us-news/missing-hawaiian-hiker-drank-river-ate-fruit-survive-after-falling-n1010341","true","false","88","false","false","2","yes"
"34","opinion/2018/07/29/how-3-words-can-stop-whats-stealing-your-joy-instead-staying-stuck-in-comparing-and-competing.html","false","true","117","false","false","4","yes"
"35","entertainment/miss-usa-miss-teen-usa-reveal-what-makes-them-proud-to-be-americans","false","false","81","false","false","1","yes"
"36","opinion/2018/07/29/does-donald-trump-really-hate-breastfeeding-another-media-mis-report.html","false","true","92","false","false","4","yes"
"37","tech/2018/07/29/dna-to-x-ray-to-id-remains-from-north-korea-military-has-range-tools.html","false","true","89","false","false","4","yes"
"38","auto/2018/07/31/toyota-unveils-second-generation-hydrogen-powered-semi-truck.html","false","true","81","false","false","4","yes"
"39","entertainment/ali-fedotowsky-says-she-and-her-husband-havent-slept-in-the-same-bed-since-welcoming-their-second-child","false","false","117","false","false","1","yes"
"40","entertainment/2018/07/31/meghan-markles-37th-birthday-has-special-meaning-for-queen.html","false","true","88","false","false","4","yes"
"41","opinion/2018/07/30/violent-threats-from-left-aimed-at-republicans-are-growing-when-will-democrats-condemn-them.html","false","true","115","false","false","4","yes"
"42","opinion/2018/07/31/here-s-why-restrictions-on-3d-guns-would-violate-first-amendment-as-well-as-second.html","false","true","106","false","false","4","yes"
"43","tech/2018/07/31/air-force-brings-ai-to-b-2-f-35-and-f-15.html","false","true","61","false","false","4","yes"
"44","us/2018/07/31/mollie-tibbetts-university-iowa-student-missing-timeline-events.html","false","true","82","false","false","4","yes"
"45","health/2018/07/31/how-do-know-if-your-cut-has-flesh-eating-bacteria.html","false","true","72","false","false","4","yes"
"46","entertainment/2018/07/31/prince-george-and-princess-charlotte-must-bow-curtsy-to-queen-elizabeth-by-age-5-report-says.html","false","true","122","false","false","4","yes"
"47","opinion/2018/07/31/trumps-economy-has-democrats-singing-same-old-tax-spend-and-regulate-song.html","false","true","97","false","false","4","yes"
"48","opinion/2018/07/31/smug-seattle-keeps-throwing-money-after-streetcar-bike-lane-fiasco-that-s-totally-off-rails.html","false","true","115","false","false","4","yes"
"49","food-drink/2018/07/31/yelp-adds-open-to-all-feature-to-protect-consumers-from-discrimination.html","false","true","97","false","false","4","yes"
"50","travel/2018/07/31/obese-tourists-from-us-and-uk-blamed-for-crippling-donkeys-in-greece-activists-say.html","false","true","105","false","false","4","yes"
"51","en/film-dubbing-as-high-art-in-germany/a-48862319","true","false","49","false","false","2","yes"
"52","en/eu-election-surge-for-greens-losses-for-centrist-bloc/a-48883806","true","false","67","false","false","2","yes"
"53","en/cannes-film-fest-2019-the-tops-and-the-flops/a-48850069","true","false","58","false","false","2","yes"
"54","en/deep-tech-startups-next-wave-of-global-disruptors/a-48727620","true","false","63","false","false","2","yes"
"55","en/german-eu-election-results-ramp-up-pressure-on-merkels-coalition/a-48884360","true","false","78","false","false","2","yes"
"56","en/afghans-deported-from-germany-face-violence-other-perils/a-48854746","true","false","70","false","false","2","yes"
"57","en/opinion-why-times-up-for-harvey-weinstein/a-43933699","true","false","55","false","false","2","yes"
"58","en/15-years-on-is-it-time-to-deletefacebook/a-47353281","true","false","54","false","false","2","yes"
"59","en/bertolt-brecht-threepenny-novel/a-45744149","true","false","45","false","false","2","yes"
"60","en/remembering-judith-kerr-the-author-of-when-hitler-stole-pink-rabbit/a-48843459","true","false","81","false","false","2","yes"
"61","en/insights-into-germanys-startup-scene-entrepreneurship-funding-venture-capital-investing-expansion/a-40993536","true","false","111","false","false","2","yes"
"62","en/do-it-yourself-insulin-biohackers-aim-to-counteract-skyrocketing-prices/a-48861257","true","false","85","false","false","2","yes"
"63","en/anna-sorokin-the-story-of-the-fake-german-heiress-who-stiffed-the-art-world/a-44094621","true","false","89","false","false","2","yes"
"64","en/anna-a-young-woman-seeking-love-and-allah/a-48806245","true","false","55","false","false","2","yes"
"65","en/firings-at-russias-kommersant-newspaper-prompt-press-freedom-concerns/a-48822489","true","false","83","false","false","2","yes"
"66","en/anti-vaxxer-mentality-is-better-tackled-through-empathy-not-facts/a-48848270","true","false","79","false","false","2","yes"
"67","en/lewis-hamilton-holds-on-to-win-dramatic-monaco-grand-prix/a-48881211","true","false","71","false","false","2","yes"
"68","news/boeing-737-max-as-faa-weighs-whether-jet-is-ready-to-fly-again-americans-may-not-be/","false","false","89","true","false","2","yes"
"69","news/whistleblowers-go-undercover-to-expose-criminal-drug-operation-within-the-chicago-pd/","false","false","90","true","false","2","yes"
"70","news/mississippi-abortion-law-blocked-by-federal-judge-today-2019-05-24-live-updates/","false","true","85","true","false","2","yes"
"71","news/darlyn-valle-what-we-know-about-the-10-year-old-migrant-girl-6th-to-die-in-us-custody/","false","false","91","true","false","2","yes"
"72","news/donald-trump-japan-sumo-in-tokyo-part-of-visit-focused-on-flattery/","false","false","72","true","false","2","yes"
"73","news/corepower-yoga-instructors-sue-americas-largest-chain-of-yoga-studios-for-underpaying/","false","false","91","true","false","2","yes"
"74","news/ebola-outbreak-democratic-republic-of-congo-violence-mistrust-hamper-efforts-to-combat-disease/","false","false","100","true","false","2","yes"
"75","news/vatican-documents-made-more-accessible-with-help-of-high-school-students-and-ai/","false","false","85","true","false","2","yes"
"76","news/beef-recall-more-than-62000-pounds-of-raw-beef-products-recalled-nationwide-due-to-e-coli-risk-2019-05-23/","false","true","111","true","false","2","yes"
"77","news/explosion-lyon-france-today-leaves-several-injured-president-macron-calls-an-attack-live-updates-2019-05-24/","false","true","113","true","false","2","yes"
"78","news/one-in-four-workers-in-us-dont-get-any-paid-vacation-time-or-holidays/","false","false","75","true","false","2","yes"
"79","news/stephen-calk-federal-savings-bank-ceo-charged-with-trying-to-trade-loans-for-trump-post/","false","false","93","true","false","2","yes"
"80","news/facebook-ceo-mark-zuckerberg-should-step-down-says-former-security-head/","false","false","77","true","false","2","yes"
"81","news/jayme-closs-case-jake-patterson-sentenced-for-murdering-couple-kidnapping-wisconsin-teen-today-2019-05-24/","false","true","111","true","false","2","yes"
"82","news/bryan-cranston-on-network-as-a-warning-about-tribalism-among-news-audiences/","false","false","81","true","false","2","yes"
"83","news/paul-whelan-russia-american-accused-spy-prison-abuse-harassment-today-2019-05-24/","false","true","86","true","false","2","yes"
"84","news/colorado-caps-insulin-prices-colorado-becomes-first-state-to-cap-insulin-prices/","false","false","85","true","false","2","yes"
"85","entry/climate-geoengineering-kim-stanley-robinson_us_5b4e54bde4b0de86f487b0b9","false","false","77","false","false","1","yes"
"86","entry/trump-war-crimes-pardon_n_5ce80684e4b05c15deab8454","false","false","56","false","false","1","yes"
"87","entry/hampton-bays-water_us_5b58f186e4b0fd5c73cb5b01","false","false","52","false","false","1","yes"
"88","entry/environmental-activists-killed-every-week_us_5b55ed2be4b0de86f48f2fb6","false","false","75","false","false","1","yes"
"89","entry/colombia-rainforest-deforestation-lawsuit_us_5b58a5c3e4b0de86f492ab66","false","false","75","false","false","1","yes"
"90","entry/andrew-wheeler-ethics-probe_us_5b5a7deae4b0fd5c73cd874c","false","false","61","false","false","1","yes"
"91","entry/trump-fuel-economy-standards_us_5b106b1ae4b010565aaa80e4","true","false","62","false","false","1","yes"
"92","entry/how-government-shutdown-would-affect-you_us_5b5f6308e4b0b15aba9b9b04","false","false","74","false","false","1","yes"
"93","entry/america-china-recycling-crisis-landfills_us_5b5170b1e4b0de86f48b7740","false","false","74","false","false","1","yes"
"94","entry/lab-grown-chicken-cultured-clean-meat_us_58d4cc13e4b02a2eaab251fa","false","false","71","false","false","1","yes"
"95","entry/whale-dolphin-hybrid-not-new-species_us_5b5dcc26e4b0b15aba99a86a","false","false","70","false","false","1","yes"
"96","entry/sarah-huckabee-sanders-enemy-of-the-people_us_5b63475be4b0b15abaa0f33f","false","false","76","false","false","1","yes"
