"Number","BaseUrl","Number","Date","Length","EndingSlash","ReservedWord","SlashCount","Article"
"1","news/politics/","false","false","14","true","false","2","no"
"2","news/topics/russia-investigation","false","false","32","false","false","2","no"
"3","news/video/u-appeals-court-rejects-challenges-000146750.html","true","false","60","false","true","2","no"
"4","news/topics/skullduggery","false","false","24","false","false","2","no"
"5","news/world/","false","false","11","true","false","2","no"
"6","news/topics/us-news","false","false","19","false","false","2","no"
"7","news/topics/lifestyle","false","false","21","false","false","2","no"
"8","news/tagged/photos/","false","false","19","true","true","3","no"
"9","news/topics/science","false","false","19","false","false","2","no"
"10","news/topics/technology","false","false","22","false","false","2","no"
"11","news/former-trump-campaign-chairman-paul-slideshow-wp-154358504.html","true","false","68","false","true","1","no"
"12","news/originals/","false","false","15","true","false","2","no"
"13","news/video/weinstein-attorney-says-da-withheld-030923697.html","true","false","61","false","true","2","no"
"14","news/topics/sports","false","false","18","false","false","2","no"
"15","news/topics/president-trump","false","false","27","false","false","2","no"
"16","news/topics/entertainment","false","false","25","false","false","2","no"
"17","news/video/soldier-secret-unit-dies-parachute-003327164.html","true","false","60","false","true","2","no"
"18","tech-media","false","false","10","false","false","0","no"
"19","?cid=eref:nbcnews:text","false","false","22","false","false","0","no"
"20","nightly-films","false","false","13","false","false","0","no"
"21","politics","false","false","8","false","false","0","no"
"22","msnbc/the-rachel-maddow-show-podcasts","false","false","37","false","true","1","no"
"23","https://cms.megaphone.fm/channel/morningjoe?selected=NBCN1605284769","true","false","67","false","false","4","no"
"24","now","false","false","3","false","false","0","no"
"25","us-news","false","false","7","false","false","0","no"
"26","world","false","false","5","false","false","0","no"
"27","meet-the-press-full-episodes","false","false","28","false","true","0","no"
"28","nightly-news","false","false","12","false","false","0","no"
"29","news/week-in-pictures","false","false","21","false","true","1","no"
"30","schedule","false","false","8","false","false","0","no"
"31","mtp-daily/","false","false","10","true","false","1","no"
"32","morning-joe/episodes#!#full-episodes","false","false","36","false","true","1","no"
"33","category/health/cancer.html","false","false","27","false","false","2","no"
"34","category/tech/topics/computers","false","false","30","false","false","3","no"
"35","category/tech/topics/military-tech.html","false","false","39","false","false","3","no"
"36","travel.html","false","false","11","false","false","0","no"
"37","category/real-estate.html","false","false","25","false","false","1","no"
"38","tech.html","false","false","9","false","false","0","no"
"39","category/science/natural-science.html","false","false","37","false","false","2","no"
"40","category/science/archaeology/dinosaurs.html","false","false","43","false","false","3","no"
"41","category/politics/elections.html","false","false","32","false","false","2","no"
"42","category/politics/foreign-policy.html","false","false","37","false","false","2","no"
"43","person/personalities.html","false","false","25","false","false","1","no"
"44","shows","false","false","5","false","false","0","no"
"45","science.html","false","false","12","false","false","0","no"
"46","category/health/mental-health.html","false","false","34","false","false","2","no"
"47","auto.html","false","false","9","false","false","0","no"
"48","category/tech/topics/video-games.html","false","false","37","false","true","3","no"
"49","en/freiburg-and-the-black-forest-in-360-degrees/a-46464628","true","false","58","false","false","2","no"
"50","en/tv/s-1452","false","false","12","false","false","2","no"
"51","en/the-minnesota-twins-max-kepler/av-48884450","true","false","45","false","false","2","no"
"52","en/media-center/s-100824","true","false","24","false","false","2","no"
"53","en/radio/s-32771","false","false","16","false","false","2","no"
"54","en/media-center/podcasts/s-100977","true","false","33","false","true","3","no"
"55","en/emotional-tributes-to-niki-lauda-at-monaco-grand-prix/g-48852366","true","false","67","false","false","2","no"
"56","en/media-center/live-tv/s-100825","true","false","32","false","false","3","no"
"57","en/greenland-in-360-degrees/a-46465372","true","false","38","false","false","2","no"
"58","en/learn-german/s-2469","false","false","22","false","false","2","no"
"59","en/eisenach-and-wartburg-castle-in-360-degrees/a-46465499","true","false","57","false","false","2","no"
"60","en/hamburg-in-360-degrees/a-46465215","true","false","36","false","false","2","no"
"61","en/top-stories/arts/s-10553","false","false","27","false","false","3","no"
"62","en/berlins-olympic-stadium/g-18492472","true","false","37","false","false","2","no"
"63","en/top-stories/100-must-reads/s-43415865","true","false","40","false","false","3","no"
"64","en/top-stories/africa-on-the-move/s-32368","false","false","41","false","false","3","no"
"65","news/political-podcast-the-takeout/","false","false","35","true","true","2","no"
"66","pictures/2018-tony-awards-highlights-winners/","false","false","45","true","true","2","no"
"67","video/","false","false","6","true","true","1","no"
"68","video/north-korea-calls-meetings-with-pompeo-regrettable/","false","false","57","true","true","2","no"
"69","video/a-look-back-a-history-of-sunday-morning/","false","false","46","true","true","2","no"
"70","video/inside-the-assignment-cbs-news-crew-faces-surprising-accusations-while-reporting-in-russia/","false","false","97","true","true","2","no"
"71","video/one-of-pennsylvanias-youngest-elected-officials-talks-trump/","false","false","66","true","true","2","no"
"72","video/a-lost-generation-of-gender/","false","false","34","true","true","2","no"
"73","video/nature-sanibel-island/","false","false","28","true","true","2","no"
"74","video/using-our-data-to-become-more-human/","false","false","42","true","true","2","no"
"75","video/nepal-the-lost-girls/","false","false","27","true","true","2","no"
"76","video/729-rudy-giuliani-larry-kudlow-jeanne-shaheen/","false","false","52","true","true","2","no"
"78","video/online-matchmaking-comes-to-the-zoo/","false","false","42","true","true","2","no"
"79","pictures/notable-deaths-in-2018/","false","false","32","true","true","2","no"
"80","video/from-2006-writer-tom-wolfe-on-journalism-and-voyeurism/","false","false","61","true","true","2","no"
"81","section/parents","false","false","15","false","false","1","no"
"82","section/queer-voices","false","false","20","false","false","1","no"
"83","section/politics","false","false","16","false","false","1","no"
"84","section/us-news","false","false","15","false","false","1","no"
"85","section/comedy","false","false","14","false","false","1","no"
"86","section/opinion","false","false","15","false","false","1","no"
"87","section/health","false","false","14","false","false","1","no"
"88","section/arts","false","false","12","false","false","1","no"
"89","section/style","false","false","13","false","false","1","no"
"90","section/money","false","false","13","false","false","1","no"
"91","section/celebrity","false","false","17","false","false","1","no"
"92","section/green","false","false","13","false","false","1","no"
"93","section/taste","false","false","13","false","false","1","no"
"94","section/world-news","false","false","18","false","false","1","no"
"95","section/black-voices","false","false","20","false","false","1","no"
"96","section/latino-voices","false","false","21","false","false","1","no"
"97","r/ProgrammerHumor/comments/bt93rv/having_nothing_to_say_shows_that_freedom_of/","false","false","78","true","false","5","no"
"98","r/gifs/comments/bt9pnh/somethings_not_right/","false","false","44","true","false","5","no"
"99","r/todayilearned/comments/bt9fqb/til_that_after_the_band_weezer_covered_the_song/","false","false","80","true","false","5","no"
"100","r/movies/comments/btawr2/john_wick_3_is_the_first_keanu_reeves_film_in/","false","false","71","true","false","5","no"
"101","r/aww/comments/bt9p28/waking_up_a_deaf_pup/","false","false","43","true","false","5","no"
"102","r/whatisthisthing/comments/btaj4y/suspicious_computer_chip_hidden_inside_stack_of/","false","false","82","true","false","5","no"
"103","r/gaming/comments/bt9hrn/my_ma_crocheted_me_a_snorlax_for_my_27th_birthday/","false","false","75","true","false","5","no"
"104","r/INDYCAR/comments/bt9j5k/race_thread_2019_103rd_running_of_the/","false","false","64","true","false","5","no"
"105","ThisWeek","false","false","8","false","false","0","no"
"106","Video","false","false","5","false","true","0","no"
"107","Live","false","false","4","false","false","0","no"
"108","Politics","false","false","8","false","false","0","no"
"109","US","false","false","2","false","false","0","no"
"110","Sports","false","false","6","false","false","0","no"
"111","Health","false","false","6","false","false","0","no"
"112","Lifestyle","false","false","9","false","false","0","no"
"113","Technology","false","false","10","false","false","0","no"
"114","TheView","false","false","7","false","false","0","no"
"115","business","false","false","8","false","false","0","no"
"116","Nightline","false","false","9","false","false","0","no"
"117","VR","false","false","2","false","false","0","no"
"118","WhatWouldYouDo","false","false","14","false","false","0","no"
"119","International","false","false","13","false","false","0","no"
"120","Entertainment","false","false","13","false","false","0","no"
