,Pruned Decision Tree using features from Link-Taget Identification ,Pruned Decision Tree using features from CoreEx,Pruned Decision Tree using features from both Link-Target Identification and CoreEx
Trial 1,94.2,95.9,97.1
Trial 2,94.5,96.2,97.4
Trial 3,94.1,95.1,97.1
Trial 4,93.6,95.6,96.2
Trial 5,94.7,95.6,97.1
Trial 6,93.6,95.7,98
Trial 7,94.8,95.6,97.4
Trial 8,94.5,95,96.8
Trial 9,94.8,96.5,96.2
Trial 10,93.6,95,98
Trial 11,93.3,96.2,96.8
Trial 12,93.6,96.2,96.2
Trial 13,93.6,96,95.7
Trial 14,94.2,96.3,96.2
Trial 15,93.9,96.2,96
Trial 16,93.9,95.9,97.1
Trial 17,94.4,95.6,97.4
Trial 18,94.2,95.9,97.1
Trial 19,93.6,96.2,97.7
Trial 20,94.2,95.9,96.8
