"MainConentTag","HighestFreqTagSetS","FrequencyCount","MainContentScore","DepthMainContentinDOMTree"
"ul","li","7","0.9910060167312622","13"," article"
"div","p","5","1.0135289430618286","11"," article"
"div","p","4","1.0482629537582397","11"," article"
"div","p","3","0.9974790811538696","11"," article"
"div","p","3","0.9943780899047852","11"," article"
"div","p","11","0.9989869594573975","11"," article"
"div","p","3","0.9966588020324707","11"," article"
"div","p","3","0.9945802092552185","11"," article"
"div","p","4","1.011193037033081","11"," article"
"ul","li","7","0.9910219311714172","13"," article"
"div","p","6","0.995616614818573","11"," article"
"div","p","8","1.0038301944732666","11"," article"
"ul","li","7","0.9909086227416992","13"," article"
"ul","li","15","0.9911299347877502","7"," article"
"div","p","6","0.994713544845581","11"," article"
"ul","li","7","0.9909312725067139","13"," article"
"div","p","4","1.009218692779541","11"," article"
